name	path	assignment
haplotype1_from_utig4-1032	utig4-518+,utig4-519+,utig4-954-,utig4-896-,utig4-894+,utig4-832-,[N5000N:ambig_path],utig4-830+,utig4-875-,utig4-877+,utig4-1243-,utig4-789-,utig4-786-,utig4-788+,utig4-1163+,utig4-840-,utig4-839+,utig4-842+,utig4-1299-,utig4-838-,utig4-834-,utig4-836+,utig4-1027+,utig4-1028+,utig4-499-,utig4-490-,utig4-487-,utig4-489+,utig4-1304+,utig4-1209-,utig4-1207-,utig4-721-,utig4-717-,utig4-718+,utig4-779-,utig4-780+,utig4-921-,utig4-903-,utig4-902+,utig4-906+,utig4-1285+,utig4-1039-,utig4-1037+,utig4-742-,utig4-738-,utig4-740+,utig4-1283+,utig4-964-,utig4-962-,utig4-134-,utig4-132+,utig4-135+,utig4-207+,utig4-208+,utig4-925-,utig4-927+,utig4-1082+,utig4-1036-,utig4-1031-,[N5000N:ambig_path],utig4-1032+,utig4-1210-,utig4-952-,utig4-950-,utig4-604-,utig4-603+,utig4-260-,utig4-259+,utig4-262+,utig4-1262+,utig4-851-,utig4-849+,utig4-853+,utig4-991+,utig4-227-,utig4-224-,utig4-225+,utig4-913-,utig4-915+,utig4-1256-,utig4-724-,utig4-722-,utig4-508-,utig4-504-,utig4-505+	HAPLOTYPE1
haplotype1_from_utig4-119	utig4-97+,utig4-119+	HAPLOTYPE1
haplotype1_from_utig4-1214	utig4-1282-,utig4-1277-,utig4-1275+,utig4-1279+,utig4-1251-,utig4-1250+,utig4-1213-,utig4-1211+,utig4-1214+,utig4-1309-,utig4-1311+	HAPLOTYPE1
haplotype1_from_utig4-1257	utig4-1257+	HAPLOTYPE1
haplotype1_from_utig4-1345	utig4-181-,utig4-177-,utig4-179+,utig4-800-,utig4-801+,utig4-1156+,utig4-846-,utig4-844+,utig4-847+,utig4-1330+,utig4-1331+,utig4-1358-,utig4-820-,utig4-816-,utig4-817+,utig4-1235+,utig4-1237+,utig4-960-,utig4-958-,utig4-955-,utig4-957+,utig4-1013-,utig4-33-,utig4-30-,utig4-32+,utig4-888+,utig4-890+,utig4-992-,utig4-979-,utig4-976-,utig4-978+,utig4-1344+,utig4-1345+	HAPLOTYPE1
haplotype1_from_utig4-1350	utig4-1350+,utig4-13-,utig4-10-,[N46847N:ambig_bubble],utig4-1423+,utig4-1341-,utig4-1340-,[N1000N:ambig_bubble],utig4-1106-,[N1000N:ambig_bubble],utig4-1217-,[N1000N:ambig_bubble],utig4-368-,[N1000N:ambig_bubble],utig4-1030-,[N1000N:ambig_bubble],utig4-384+,[N1000N:ambig_bubble],utig4-1381-,[N1000N:ambig_bubble],utig4-1379+,utig4-1383+,utig4-1432-,utig4-143-,utig4-140-,[N1000N:ambig_bubble],utig4-389-,[N1000N:ambig_bubble],utig4-396+,[N7509N:ambig_bubble],utig4-1078-,[N1000N:ambig_bubble],utig4-1272+	HAPLOTYPE1
haplotype1_from_utig4-212	utig4-1239-,utig4-1238-,utig4-257-,utig4-256-,utig4-205-,utig4-202-,utig4-203+,utig4-1271-,utig4-215-,utig4-211-,utig4-212+	HAPLOTYPE1
haplotype1_from_utig4-221	utig4-223-,utig4-219-,utig4-221+,utig4-702+,utig4-631-,utig4-627-,utig4-628+,utig4-891+,utig4-892+,utig4-1101+,utig4-758-,utig4-756-,utig4-165-,utig4-162-,utig4-163+	HAPLOTYPE1
haplotype1_from_utig4-305	utig4-1204-,utig4-1202-,utig4-307-,utig4-304-,utig4-305+,utig4-1427+,[N1000N:ambig_bubble],utig4-1420+,[N1000N:ambig_bubble],utig4-1167-,[N1000N:ambig_bubble],utig4-1404-,utig4-1287-,utig4-1286+,utig4-1289+	HAPLOTYPE1
haplotype1_from_utig4-355	utig4-1403+,utig4-70-,utig4-69+,utig4-73+,utig4-1126-,utig4-1118+,utig4-1120+,utig4-1123+,[N1000N:ambig_bubble],utig4-1430+,[N1000N:ambig_bubble],utig4-1360+,[N1000N:ambig_bubble],utig4-1414+,[N1000N:ambig_bubble],utig4-1429+,[N1000N:ambig_bubble],utig4-1096-,[N1000N:ambig_bubble],utig4-1428+,[N1000N:ambig_bubble],utig4-1417-,[N1000N:ambig_bubble],utig4-79-,utig4-74-,utig4-76+,[N1000N:ambig_bubble],utig4-1441+,[N1000N:ambig_bubble],utig4-1468+,[N1000N:ambig_bubble],utig4-1371+,[N1000N:ambig_bubble],utig4-1391-,utig4-1392+,[N1000N:ambig_bubble],utig4-88+,[N31446N:ambig_bubble],utig4-1425+,[N1000N:ambig_bubble],utig4-1365-,[N3027N:ambig_bubble],utig4-1393+,[N1000N:ambig_bubble],utig4-1385-,[N1000N:ambig_bubble],utig4-782+,[N1000N:ambig_bubble],utig4-353-,utig4-355+	HAPLOTYPE1
